"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
263,"Andrea Pellegrino",22.2,1451.2,1229.8,"1405.1","-","2019 Parma CH R16",22.2,1461.4
264,"Matteo Donati",24.1,1446.7,1237.5,"1458.5","1417.5","2015 Todi CH SF",20.4,1604
265,"Gianluigi Quinzi",23.4,1446.7,1303.9,"1418.1","1331.4","2018 Perugia CH F",22.4,1659.4
266,"Zhizhen Zhang",22.6,1444.5,1337.8,"1398.1","-","2019 Columbus CH QF",22.6,1473.7
267,"Marcelo Tomas Barrios Vera",21.5,1438.5,1360.6,"1398.8","-","2019 Cuernavaca CH R16",21.2,1535.1
268,"Saketh Myneni",31.6,1437.6,1384.5,"1338.2","1355.6","2016 Surbiton CH R16",28.6,1626.6
269,"Danilo Petrovic",27.4,1436,1450.9,"1308.4","1324.2","2018 Mestre CH SF",26.3,1489
270,"Sergio Gutierrez Ferrol",30.1,1435.3,1178.6,"1494.0","1237.3","2012 Madrid CH SF",23.6,1648.7
271,"Liam Broady",25.4,1433.6,1428.4,"1295.5","1149.2","2017 Las Vegas CH F",23.8,1641.4
272,"Cem Ilkel",23.8,1432.7,1367.8,"1098.1","1341.7","2019 Fergana CH SF",23.8,1454.8
273,"Gastao Elias",28.5,1431.5,1290,"1436.4","1260.0","2016 Rio Olympics R32",25.7,1722.8
274,"Sebastian Fanselow",27.5,1430.7,1361.3,"1233.3","-","2019 Burnie CH QF",27,1564.5
275,"Frederico Ferreira Silva",24.2,1430.2,1304.4,"1356.8","1378.5","2019 Lisboa CH R32",24.2,1464.9
276,"Andrea Collarini",27.4,1429.7,1170.5,"1419.7","1375.8","2014 Blois CH R16",22.4,1501.3
277,"Uladzimir Ignatik",28.9,1426.1,1393.5,"1349.0","1303.6","2011 Pingguo CH QF",20.7,1677.7
278,"Pedro Cachin",24.2,1426,1079.1,"1440.2","1369.3","2015 Banja Luka CH R32",20.4,1623.2
279,"Ze Zhang",28.9,1425.3,1434.9,"1259.1","1367.7","2017 Zhuhai CH QF",26.7,1607
280,"Kaichi Uchida",24.8,1424.9,1373.2,"1247.9","-","2019 Taipei CH R16",24.6,1492.1
281,"Pedja Krstin",24.8,1424.7,1326.1,"1415.7","1313.8","2016 Leon CH R16",21.6,1552.2
282,"Lucas Miedler",23,1422.8,1357.8,"1265.6","-","2019 Puerto Vallarta CH QF",22.9,1494
283,"Alexandre Muller",22.4,1419.5,1335.1,"1336.7","-","2018 Lyon CH QF",21.4,1509.1
284,"Roberto Quiroz",27.3,1416.3,1333.8,"1346.2","1427.3","2017 Leon CH F",25.1,1539.9
285,"Matteo Viola",31.9,1415.6,1412.9,"1278.3","1367.5","2012 Doha Qual",25.5,1644.8
286,"Stephane Robert",39.1,1413.7,1322.6,"1463.7","1552.3","2010 Casablanca R16",29.9,1783.3
287,"Dennis Novikov",25.6,1412.1,1371.9,"1223.1","1415.0","2015 Knoxville CH SF",22,1621
288,"Daniel Masur",25,1411.7,1251.3,"1420.9","-","2017 Koblenz CH SF",22.6,1581.9
289,"Gleb Sakharov",31,1410.8,1467.9,"1222.7","1313.7","2018 Noumea CH SF",29.6,1610.4
290,"Evgeny Karlovskiy",24.9,1410.5,1370.8,"1210.8","1368.5","2019 Zhuhai CH F",24.6,1493.6
291,"Yibing Wu",19.4,1409.2,1309.8,"1218.6","-","2017 Chengdu R32",18,1571
292,"Hiroki Moriya",28.6,1408.6,1350.8,"1132.4","1333.7","2012 Brisbane Qual",22.2,1568.2
293,"Baptiste Crepatte",24.7,1408.5,1373.5,"1268.8","-","2019 Shenzhen CH SF",24.5,1616.3
294,"Collin Altamirano",23.5,1402.7,1292.8,"1444.2","-","2018 Fairfield CH R16",22.8,1601.6
295,"Kevin Krawietz",27.3,1401.8,1381.6,"1343.2","1354.9","2018 Meerbusch CH QF",26.6,1547.9
296,"Marc Andrea Huesler",23,1400.1,1269.1,"1404.2","-","2019 Leon CH R32",22.8,1575.3
297,"Laurynas Grigelis",27.8,1398.5,1318.1,"1331.4","1356.6","2011 Eckental CH R16",20.2,1641.8
298,"Martin Cuevas",27.4,1396.8,1249.3,"1362.6","-","2019 Parma CH QF",27.4,1415.5
299,"Oriol Roca Batalla",26.1,1396.5,1294.7,"1363.6","1351.8","2015 Casablanca CH R16",22.5,1474.2
300,"Arthur Rinderknech",23.9,1394.9,1344.2,"1239.4","-","2019 Blois CH R32",23.9,1426.2
301,"Alejandro Gonzalez",30.3,1392.9,1358.3,"1353.0","1269.0","2015 Santiago CH SF",26.1,1699.1
302,"Dimitar Kuzmanov",25.9,1392.8,1218.9,"1392.5","-","2014 Istanbul CH R32",21.1,1524.5
303,"Gonzalo Escobar",30.4,1391.2,1349.9,"1308.7","-","2019 Leon CH QF",30.3,1475.5
304,"Vaclav Safranek",25.1,1389.8,1183.9,"1385.8","1316.7","2016 Sibiu CH QF",22.3,1480.2
305,"Tsung Hua Yang",28.2,1389.4,1331.2,"1336.4","1258.7","2011 Tashkent CH QF",20.5,1534.1
306,"Renzo Olivo",27.3,1389,1314.9,"1370.4","1265.7","2015 Buenos Aires R16",22.9,1650.5
307,"Borna Gojo",21.3,1388.9,1392.2,"1176.8","-","2019 Dallas CH R16",20.9,1559.2
308,"Kenny De Schepper",32.1,1387.5,1422.7,"1265.1","1509.7","2012 Seoul CH QF",25.4,1770
309,"Brydan Klein",29.5,1387,1349.5,"1152.3","1372.8","2015 Cary CH SF",25.7,1545.2
310,"Raul Brancaccio",22.1,1386.4,1318.6,"1345.2","-","2019 Murcia CH R16",21.9,1465.9
311,"Benjamin Bonzi",23,1386.4,1266.2,"1333.2","1521.8","2017 Perugia CH QF",21.1,1579.4
312,"Jurij Rodionov",20.1,1385.1,1460.6,"1318.9","1297.3","2018 Astana CH SF",19.2,1703.6
313,"Viktor Durasovic",22.2,1382.8,1383.6,"1268.5","1404.2","2014 Davis Cup G2 R1",16.9,1500
314,"Luke Saville",25.3,1381.3,1335.8,"1155.1","1491.7","2014 Traralgon2 CH SF",20.8,1563.9
315,"Aleksandar Vukic",23.2,1380.1,1318,"1313.7","-","2018 Traralgon CH QF",22.5,1457.4
316,"Zsombor Piros",19.7,1375.1,1249.2,"1334.3","-","2018 Monterrey CH R16",19,1449.6
317,"Filip Peliwo",25.4,1374.6,1316.4,"1317.8","1324.0","2018 Busan CH SF",24.3,1580.6
318,"Roberto Cid",25.8,1373.6,1342.6,"1277.8","-","2018 Almaty CH QF",24.8,1566.9
319,"Guilherme Clezar",26.5,1371.8,1215.3,"1373.3","1203.4","2013 Porto Alegre CH SF",20.7,1583.6
320,"Roman Safiullin",21.9,1360.1,1383.1,"1198.2","-","2019 Pau CH QF",21.6,1512.2
321,"Goncalo Oliveira",24.3,1359.9,1145.9,"1363.6","1333.4","2017 Campinas CH SF",22.6,1445.9
322,"Ulises Blanch",21.2,1359.2,1288.3,"1342.0","-","2018 San Benedetto Del Tronto CH R32",20.3,1595.9
323,"Johannes Haerteis",23.3,1359.1,1355.3,"1161.6","1361.3","2018 Ismaning CH SF",22.6,1345.2
324,"Sasi Kumar Mukund",22.4,1355.1,1309.4,"1273.3","1357.2","2019 Chennai CH SF",22.1,1451.9
325,"Michael Redlicki",25.6,1354.2,1333,"1153.9","-","2019 Sarasota CH R64",25.4,1556.6
326,"Evan King",27.2,1350.1,1316.5,"1191.3","1211.5","2018 Drummondville CH QF",26,1495.1
327,"Stefan Kozlov",21.3,1350,1279.2,"1373.0","1430.8","2017 Tempe CH QF",19,1658
328,"Nino Serdarusic",22.5,1349.6,1141.6,"1336.7","1342.5","2018 Santo Domingo CH QF",21.8,1446.5
329,"Jacob Grills",24,1349.5,1210.9,"1321.8","-","2019 Parma CH R16",24,1378.1
330,"Thiago Seyboth Wild",19.2,1346.1,1297.7,"1276.3","-","2019 Leon CH R32",19.1,1402.5
331,"Alexander Sarkissian",29.2,1340.5,1259.6,"1144.2","1228.8","2016 Miami Masters Qual",26,1559.3
332,"Roberto Ortega Olmedo",28.2,1340.2,1259.5,"1280.4","1394.2","2014 Blois CH QF",23.2,1490.9
333,"Karim Mohamed Maamoun",28.1,1335.9,1305.5,"1282.2","-","2012 Davis Cup G2 PO",21,1541.5
334,"Matias Franco Descotte",24.8,1335.8,1323.6,"1214.7","-","2019 Santiago CH R32",24.5,1538.5
335,"Aldin Setkic",31.5,1332.3,1305.5,"1238.7","1244.5","2010 Napoli2 CH R16",22.8,1598.1
336,"Tomislav Brkic",29.3,1331.6,1193.7,"1326.6","1465.6","2018 Sevilla CH SF",28.5,1440.8
337,"Ante Pavic",30.3,1327.1,1240.1,"1309.1","1518.1","2014 Umag R32",25.4,1673.6
338,"Scott Griekspoor",28.4,1326,1242.3,"1345.1","-","2018 Milan CH R32",27.5,1526.5
