"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
33,"Andy Murray",34.1,1841.5,"1762.3","1776.8","1635.5",1801.9,1809.2,1738.5,"2017 Doha SF",29.6,2347
34,"Alex De Minaur",22.3,1839.3,"1773.3","1453.2","1614.4",1806.3,1646.2,1726.8,"2020 Atp Cup RR",20.9,1985.4
35,"Jenson Brooksby",20.6,1837.3,"1713.1","1661.4","1500.0",1775.2,1749.4,1668.6,"2021 Orlando 2 CH R16",20.6,1837.3
36,"David Goffin",30.5,1836.1,"1734.5","1736.0","1724.3",1785.3,1786.1,1780.2,"2017 Rome R32",26.4,2038.3
37,"Kevin Anderson",35.1,1834.5,"1765.1","1671.4","1587.8",1799.8,1752.9,1711.1,"2019 Australian Open R128",32.7,2026.5
38,"Vasek Pospisil",31,1832.6,"1780.0","1279.2","1478.2",1806.3,1555.9,1655.4,"2020 Sofia SF",30.4,1885.1
39,"Lorenzo Sonego",26.1,1831.1,"1614.5","1788.6","1515.1",1722.8,1809.8,1673.1,"2021 Rome QF",26,1887.3
40,"Lloyd Harris",24.3,1829.9,"1776.3","1576.3","1439.0",1803.1,1703.1,1634.4,"2021 Dubai SF",24.1,1862.2
41,"Karen Khachanov",25.1,1828.4,"1763.0","1747.6","1653.1",1795.7,1788,1740.8,"2018 Paris F",22.4,2017.4
42,"Jan Lennard Struff",31.1,1824.1,"1686.7","1748.1","1553.0",1755.4,1786.1,1688.5,"2019 Wimbledon R64",29.2,1898
43,"Filip Krajinovic",29.3,1823.6,"1779.3","1749.0","1362.2",1801.5,1786.3,1592.9,"2020 Rome R32",28.5,1938.4
44,"Hubert Hurkacz",24.3,1821.1,"1821.1","1574.5","1486.1",1821.1,1697.8,1653.6,"2021 Monte Carlo R64",24.2,1907.6
45,"Fabio Fognini",34.1,1815.4,"1732.3","1770.9","1639.4",1773.8,1793.2,1727.4,"2014 Munich SF",26.9,2007.7
46,"Alexander Bublik",24,1807,"1736.5","1536.5","1534.1",1771.7,1671.7,1670.5,"2021 Madrid R16",23.9,1845.2
47,"Jeremy Chardy",34.3,1805.2,"1766.9","1669.0","1556.6",1786.1,1737.1,1680.9,"2009 Cincinnati R64",22.5,1897.6
