"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
49,"Anastasija Sevastova",31.1,1820.9,1708.1,1708.6,"1609.2",1764.5,1764.8,1715.1,"2018 Moscow QF",28.5,1993
50,"Vera Zvonareva",36.7,1817.9,1721.9,1607.8,"1571.1",1769.9,1712.9,1694.5,"2009 Miami R64",24.5,2191.2
51,"Kaia Kanepi",36,1816.6,1765.8,1619.8,"1467.2",1791.2,1718.2,1641.9,"2010 Beijing R64",25.3,1996.3
52,"Amanda Anisimova",19.8,1816.4,1753.1,1674.8,"1401.4",1784.8,1745.6,1608.9,"2019 Mallorca R16",17.8,1929.7
53,"Laura Siegemund",33.2,1816,1705.3,1668.2,"1375.6",1760.6,1742.1,1595.8,"2016 Madrid R32",28.2,1920.5
54,"Ana Konjuh",23.5,1809.4,1674.2,1683,"1572.9",1741.8,1746.2,1691.2,"2017 Dubai R16",19.2,1898.4
55,"Irina Camelia Begu",30.8,1803.9,1702.7,1674.2,"1347.4",1753.3,1739.1,1575.6,"2016 Roland Garros R32",25.7,1943.9
56,"Shelby Rogers",28.7,1802.6,1782.7,1569.8,"1405.2",1792.7,1686.2,1603.9,"2021 Charleston 2 R16",28.5,1873.7
57,"Tsvetana Pironkova",33.8,1802.6,1713.9,1517.8,"1612.0",1758.2,1660.2,1707.3,"2006 Bratislava 75K R16",19.1,1859
58,"Caroline Garcia",27.7,1801.2,1697.2,1707.7,"1635.5",1749.2,1754.4,1718.4,"2017 Singapore RR",24,2044.4
59,"Sloane Stephens",28.2,1800.4,1614.9,1770,"1583.6",1707.7,1785.2,1692,"2017 US Open F",24.4,2022.1
60,"Katerina Siniakova",25.1,1799.8,1615.9,1711.4,"1491.6",1707.8,1755.6,1645.7,"2017 Shenzhen F",20.6,1935.7
61,"Alize Cornet",31.4,1799.6,1694.1,1593,"1531.5",1746.9,1696.3,1665.6,"2008 New Haven QF",18.6,2030.1
62,"Camila Giorgi",29.5,1796.4,1698.5,1645.9,"1569.3",1747.4,1721.2,1682.8,"2019 Australian Open R64",27,1926.1
63,"Fiona Ferro",24.3,1791.1,1567.2,1729.9,"1372.0",1679.1,1760.5,1581.5,"2021 Lyon QF",24,1854.5
64,"Qiang Wang",29.4,1790.9,1698.4,1610,"1449.5",1744.7,1700.4,1620.2,"2018 Hong Kong SF",26.7,1985.4
65,"Donna Vekic",25,1785.6,1716.4,1621.4,"1587.7",1751,1703.5,1686.6,"2019 Us Open R16",23.2,1951.4
66,"Ajla Tomljanovic",28.1,1785.3,1654.2,1626.7,"1547.9",1719.7,1706,1666.6,"2019 Rabat QF",26,1865.4
67,"Venus Williams",41,1782.6,1724.5,1494.1,"1553.5",1753.5,1638.4,1668.1,"2002 US Open SF",22.2,2462.2
68,"Su Wei Hsieh",35.4,1774.4,1744.9,1508.9,"1589.3",1759.6,1641.6,1681.8,"2019 Rabat R16",33.3,1905.4
69,"Katie Boulter",24.8,1773.3,1636.5,1391,"1534.9",1704.9,1582.1,1654.1,"2021 Nottingham R16",24.8,1794.6
70,"Shuai Zhang",32.4,1772.5,1702.3,1496.7,"1572.1",1737.4,1634.6,1672.3,"2016 Honolulu SF",27.8,1869.7
71,"Lesia Tsurenko",32,1771.2,1676.7,1603,"1490.5",1723.9,1687.1,1630.9,"2018 Brisbane SF",29.6,1944.8
72,"Nadia Podoroska",24.3,1769.3,1580.1,1676.7,"1318.4",1674.7,1723,1543.9,"2021 Yarra Valley Classic R16",24,1860.5
73,"Marie Bouzkova",22.9,1769.3,1728.8,1359.7,"1489.5",1749.1,1564.5,1629.4,"2021 Guadalajara QF",22.6,1848.4
74,"Kristina Mladenovic",28.1,1768.5,1675,1660.8,"1570.8",1721.7,1714.6,1669.6,"2017 Roland Garros R16",24,1985.4
75,"Saisai Zheng",27.3,1767.9,1678.3,1538,"1384.7",1723.1,1652.9,1576.3,"2020 Fed Cup G1 RR",26.1,1835.2
76,"Leylah Annie Fernandez",18.8,1764.5,1750.2,1438.4,"1409.0",1757.3,1601.4,1586.8,"2021 Monterrey F",18.5,1851.2
77,"Polona Hercog",30.4,1759.6,1616.1,1644.8,"1518.2",1687.8,1702.2,1638.9,"2009 Prague R32",18.5,1890.9
78,"Anastasia Potapova",20.2,1758.2,1682.4,1557.9,"1513.3",1720.3,1658,1635.7,"2019 Budapest QF",17.9,1817
79,"Rebecca Peterson",25.8,1755.3,1680.5,1586.6,"1477.3",1717.9,1671,1616.3,"2019 Tianjin F",24.2,1903.1
80,"Maria Camila Osorio Serrano",19.5,1753.7,1435.6,1660.3,"1436.7",1594.7,1707,1595.2,"2021 Belgrade QF",19.4,1809.6
81,"Magda Linette",29.3,1753.7,1705.9,1456.7,"1457.6",1729.8,1605.2,1605.6,"2020 Lexington R32",28.5,1828.5
82,"Aliaksandra Sasnovich",27.2,1750.1,1681.5,1592.1,"1374.5",1715.8,1671.1,1562.3,"2019 Australian Open R64",24.8,1944.4
83,"Alison Van Uytvanck",27.2,1747.9,1682.3,1503.5,"1639.3",1715.1,1625.7,1693.6,"2018 Montreal R64",24.4,1855.8
84,"Anna Karolina Schmiedlova",26.7,1747.6,1579.4,1622.7,"1275.1",1663.5,1685.2,1511.4,"2015 Wuhan R16",21,1934
85,"Viktorija Golubic",28.7,1747.3,1711.7,1541.8,"1440.4",1729.5,1644.5,1593.8,"2019 Indian Wells Qual",26.4,1829.5
86,"Bernarda Pera",26.5,1744.7,1576.8,1674.6,"1369.4",1660.7,1709.6,1557,"2018 Madrid R32",23.4,1827
87,"Ana Bogdan",28.5,1740.9,1608.4,1574.9,"1485.5",1674.6,1657.9,1613.2,"2018 New Haven Qual",25.7,1795.1
88,"Zarina Diyas",27.6,1740.4,1724.6,1492,"1505.3",1732.5,1616.2,1622.9,"2015 Dubai R32",21.3,1862.6
89,"Clara Tauson",18.4,1736.3,1730,1529.4,"1500.0",1733.2,1632.9,1618.2,"2021 St. Petersburg Qual",18.2,1832
90,"Andrea Petkovic",33.8,1732.7,1694.5,1548.1,"1433.3",1713.6,1640.4,1583,"2011 Beijing SF",24.1,2098
91,"Kirsten Flipkens",35.2,1728,1643.1,1491.7,"1596.5",1685.6,1609.9,1662.3,"2013 Toronto R32",27.6,1942
92,"Lauren Davis",27.7,1727.4,1617.1,1551.8,"1532.0",1672.2,1639.6,1629.7,"2017 Indian Wells R32",23.4,1902.6
93,"Danka Kovinic",26.5,1725.6,1487.4,1637.6,"1266.6",1606.5,1681.6,1496.1,"2016 Istanbul SF",21.4,1806
94,"Coco Vandeweghe",29.5,1722.8,1594,1601.5,"1685.7",1658.4,1662.2,1704.3,"2017 Zhuhai SF",25.9,1987.4
95,"Tereza Martincova",26.6,1722.2,1657.9,1432.6,"1545.0",1690.1,1577.4,1633.6,"2021 Bogota R32",26.4,1768.2
96,"Jasmine Paolini",25.4,1719,1478.6,1666.7,"1246.9",1598.8,1692.8,1482.9,"2021 Bol F",25.4,1719
97,"Eugenie Bouchard",27,1708.7,1580.3,1693.1,"1462.2",1644.5,1700.9,1585.5,"2014 Wimbledon SF",20.3,2056.3
98,"Margarita Gasparyan",26.7,1698.1,1675.4,1409,"1535.0",1686.7,1553.5,1616.5,"2019 Madrid Qual",24.7,1855.4
99,"Heather Watson",29.1,1692.2,1609.6,1440.5,"1538.0",1650.9,1566.3,1615.1,"2014 Eastbourne QF",22.1,1924.6
100,"Arantxa Rus",30.5,1688.3,1604.9,1529.8,"1429.4",1646.6,1609,1558.9,"2011 Cuneo 100K SF",20.5,1771.7
101,"Harmony Tan",23.7,1687.4,1510.8,1477,"-",1599.1,1582.2,1518.7,"2021 Roland Garros R128",23.7,1699.4
102,"Jule Niemeier",21.8,1684.7,1230,1506.5,"1432.7",1457.3,1595.6,1558.7,"2021 Berlin Qual",21.8,1701.4
103,"Clara Burel",20.2,1684.1,1481.5,1520.5,"-",1582.8,1602.3,1517,"2021 Strasbourg R32",20.2,1727
104,"Monica Niculescu",33.7,1675.5,1552.1,1581.9,"1537.5",1613.8,1628.7,1606.5,"2013 Indian Wells R128",25.4,1890.1
105,"Elisabetta Cocciaretto",20.3,1670.5,1622.7,1548.7,"1500.0",1646.6,1609.6,1585.2,"2020 Prague SF",19.6,1803
106,"Xiyu Wang",20.2,1669.6,1558.6,1523.1,"1447.8",1614.1,1596.4,1558.7,"2020 Acapulco QF",18.9,1774.8
107,"Patricia Maria Tig",26.8,1669.6,1515,1604.9,"1130.5",1592.3,1637.2,1400,"2020 Roland Garros R64",26.2,1740.7
108,"Bethanie Mattek Sands",36.1,1669,1589.1,1565,"1547.4",1629,1617,1608.2,"2011 Roland Garros R64",26.2,1908.3
109,"Alexandra Dulgheru",32,1667.2,1511,1572.4,"1572.3",1589.1,1619.8,1619.8,"2010 Budapest QF",21.1,1995.2
110,"Nina Stojanovic",24.9,1664.7,1546.7,1533,"1441.1",1605.7,1598.8,1552.9,"2019 W80 Poitiers F",23.2,1744.4
111,"Sara Errani",34.1,1664.2,1596.8,1573.6,"1335.8",1630.5,1618.9,1500,"2013 Roland Garros QF",26.1,2081.7
112,"Anna Kalinskaya",22.5,1662.6,1659.6,1446.4,"1445.8",1661.1,1554.5,1554.2,"2019 Tashkent R16",20.8,1753
113,"Kateryna Kozlova",27.3,1662.5,1560.1,1570.9,"1381.4",1611.3,1616.7,1521.9,"2016 Kreuzlingen $50K QF",22,1805.8
114,"Madison Brengle",31.2,1660.5,1612.1,1543.3,"1407.5",1636.3,1601.9,1534,"2016 Osprey FL $50K F",26,1855
115,"Misaki Doi",30.1,1659.1,1566.5,1476.5,"1485.7",1612.8,1567.8,1572.4,"2016 Stanford R16",25.2,1829.4
116,"Kristyna Pliskova",29.2,1655.9,1545.4,1559.6,"1539.6",1600.6,1607.7,1597.8,"2018 Nurnberg R16",26.2,1812.6
117,"Varvara Gracheva",20.8,1654,1479.9,1580.2,"-",1567,1617.1,1502,"2019 Moscow R32",19.2,1809.9
118,"Caty Mcnally",19.6,1653.5,1538.7,1462.9,"1537.1",1596.1,1558.2,1595.3,"2019 Indian Wells Qual",17.3,1800.3
119,"Anna Lena Friedsam",27.4,1652.5,1566.1,1552.6,"1501.9",1609.3,1602.6,1577.2,"2016 Nurnberg R16",22.3,1832.6
120,"Kaja Juvan",20.6,1652,1638.8,1517.7,"1548.9",1645.4,1584.9,1600.5,"2020 Palermo R32",19.7,1764
121,"Varvara Lepchenko",35.1,1651,1529.2,1577.2,"1398.8",1590.1,1614.1,1524.9,"2015 Australian Open R64",28.7,1887.2
122,"Magdalena Frech",23.5,1650.8,1500.3,1536.7,"1417.9",1575.6,1593.8,1534.4,"2018 Croissy Beaubourg $60K QF",20.3,1685
123,"Claire Liu",21.1,1649.3,1383.9,1590.8,"1397.4",1516.6,1620.1,1523.4,"2021 Bol R16",21,1676.3
124,"Yaroslava Shvedova",33.7,1645.7,1546.9,1547.9,"1582.5",1596.3,1596.8,1614.1,"2009 Tashkent QF",22,1877.9
125,"Astra Sharma",25.8,1645.4,1494.8,1583.5,"1248.2",1570.1,1614.5,1446.8,"2019 Strasbourg R32",23.7,1703
126,"Hailey Baptiste",19.6,1643.5,1426,1476.6,"1381.8",1534.7,1560.1,1512.6,"2021 Berlin Qual",19.6,1651.6
127,"Anna Blinkova",22.8,1634.4,1553.3,1577.5,"1423.7",1593.9,1606,1529.1,"2020 Shenzhen R32",21.3,1805.4
128,"Anhelina Kalinina",24.3,1631.9,1527.2,1551.5,"1199.6",1579.6,1591.7,1415.7,"2021 Roland Garros Qual",24.3,1656.2
129,"Mihaela Buzarnescu",33.1,1631.4,1514.1,1500.1,"1490.5",1572.8,1565.7,1560.9,"2018 Montreal R64",30.3,1973.1
130,"Greetje Minnen",23.8,1631.1,1580,1420.3,"1511.8",1605.6,1525.7,1571.4,"2020 Doha Qual",22.5,1786.5
131,"Lin Zhu",27.4,1629.7,1573.5,1103.6,"1295.1",1601.6,1366.7,1462.4,"2019 W100 Shenzhen SF",25.8,1737.7
132,"Christina Mchale",29.1,1628.2,1602.8,1493.7,"1380.5",1615.5,1561,1504.4,"2012 Indian Wells R32",19.8,1962.3
133,"Oceane Dodin",24.6,1625.8,1586.9,1475.4,"1442.5",1606.3,1550.6,1534.1,"2016 Limoges R32",20.1,1802.6
134,"Kamilla Rakhimova",19.8,1622.5,1484.4,1503.9,"1320.4",1553.4,1563.2,1471.5,"2021 Belgrade R32",19.7,1693.8
135,"Ivana Jorovic",24.1,1621.1,1644.7,1434.6,"1246.6",1632.9,1527.8,1433.8,"2019 Monterrey R32",21.9,1725
136,"Nao Hibino",26.5,1613.1,1537.8,1442.9,"1303.3",1575.4,1528,1458.2,"2015 Tashkent F",20.8,1740.1
137,"Martina Trevisan",27.6,1612.6,1426.6,1539.6,"1225.6",1519.6,1576.1,1419.1,"2018 US Open Qual",24.8,1699.5
138,"Elena Gabriela Ruse",23.6,1610.8,1547,1428.8,"1631.6",1578.9,1519.8,1621.2,"2018 Prague R32",20.5,1725.4
139,"Rebecca Marino",30.5,1609.3,1553.4,1319,"1386.5",1581.4,1464.1,1497.9,"2011 Nassau 100K QF",20.2,1835.6
140,"Storm Sanders",26.8,1608.7,1566.9,1507.4,"1337.3",1587.8,1558.1,1473,"2021 Charleston 2 Qual",26.7,1670.9
141,"Irina Maria Bara",26.2,1605.7,1261.9,1580.6,"1332.3",1433.8,1593.1,1469,"2019 W60 Szekesfehervar SF",24.6,1639.4
142,"Aleksandra Krunic",28.2,1602.3,1479.4,1550.3,"1571.3",1540.8,1576.3,1586.8,"2017 Tashkent R16",24.5,1811.4
143,"Mona Barthel",30.9,1601.9,1603.8,1480.7,"1386.2",1602.9,1541.3,1494.1,"2012 Madrid R64",21.8,1995.6
144,"Timea Babos",28.1,1600,1567.7,1408.2,"1395.0",1583.9,1504.1,1497.5,"2016 US Open R64",23.3,1870.4
145,"Lara Arruabarrena",29.2,1599.2,1457.1,1513.5,"1449.8",1528.2,1556.3,1524.5,"2013 Indian Wells R32",21,1817.3
146,"Stefanie Voegele",31.3,1590.7,1532.8,1477.6,"1242.1",1561.8,1534.2,1416.4,"2013 Charleston QF",23.1,1847.8
147,"Katarina Zavatska",21.3,1588.5,1463.9,1508,"1284.0",1526.2,1548.3,1436.2,"2019 W60 Las Vegas NV QF",19.7,1677.3
148,"Kateryna Bondarenko",34.8,1585,1585.9,1338.7,"1505.6",1585.5,1461.8,1545.3,"2009 Beijing Qual",23.2,1969.5
149,"Olga Danilovic",20.4,1582.2,1517.7,1508.2,"1293.9",1549.9,1545.2,1438.1,"2018 US Open Qual",17.6,1800.7
150,"Harriet Dart",24.9,1582,1510.3,1444.5,"1429.8",1546.1,1513.3,1505.9,"2020 Australian Open Qual",23.5,1670.4
151,"Kristina Kucova",31.1,1580.8,1512.2,1490.5,"1230.9",1546.5,1535.7,1405.9,"2016 US Open Qual",26.3,1732.8
152,"Olga Govortsova",32.8,1577.9,1528.9,1432.2,"1514.6",1553.4,1505,1546.3,"2009 Moscow SF",21.2,1859.9
153,"Anastasia Gasanova",22.1,1574.9,1564.9,1391.3,"1281.0",1569.9,1483.1,1427.9,"2021 Roland Garros Qual",22,1624.9
154,"Viktoriya Tomova",26.3,1574.1,1433.6,1527.4,"1353.7",1503.8,1550.8,1463.9,"2016 US Open Qual",21.5,1679.8
155,"Maryna Zanevska",27.7,1572,1542.3,1476.1,"1283.8",1557.1,1524,1427.9,"2016 Limoges R16",23.2,1739.3
156,"Aliona Bolsova",23.6,1569.4,1549.5,1427.3,"1265.1",1559.4,1498.3,1417.2,"2019 Mallorca Qual",21.6,1725.2
157,"Kurumi Nara",29.5,1565,1514,1445.4,"1359.5",1539.5,1505.2,1462.2,"2015 Hobart QF",23,1826.5
158,"Viktoria Kuzmova",23.1,1562.7,1528.6,1503.7,"1322.8",1545.6,1533.2,1442.7,"2018 s-Hertogenbosch QF",20.1,1887.9
159,"Barbara Haas",25.2,1562.4,1443.1,1493.4,"1426.7",1502.8,1527.9,1494.6,"2016 Saint Malo $50K R32",20.5,1622.9
160,"Katie Volynets",19.5,1562,1310.6,1572.9,"1272.1",1436.3,1567.5,1417,"2021 W100 Bonita Springs FL F",19.4,1632.6
161,"Natalia Vikhlyantseva",24.3,1556.8,1485.9,1502.8,"1460.5",1521.4,1529.8,1508.6,"2017 St. Petersburg R16",20,1806.9
162,"Mayar Sherif",25.1,1554.1,1425.8,1510.9,"1500.0",1490,1532.5,1527.1,"2021 Dubai Aus Open Qualies Qual",24.7,1726.7
163,"Ysaline Bonaventure",26.8,1550,1548.5,1335.2,"1505.1",1549.3,1442.6,1527.6,"2019 Rabat R16",24.7,1779.9
164,"Sachia Vickery",26.1,1546.6,1536.8,1319,"1356.2",1541.7,1432.8,1451.4,"2018 Monterrey QF",22.9,1743.8
165,"Renata Zarazua",23.7,1544.7,1475.2,1445.7,"1316.0",1510,1495.2,1430.4,"2020 W100 Charleston SC QF",23.1,1618
166,"Yafan Wang",27.1,1543.5,1548.3,1216.5,"1424.4",1545.9,1380,1484,"2019 Miami R32",24.9,1810.8
167,"Jaqueline Adina Cristian",23,1536.1,1532.1,1382.5,"1255.7",1534.1,1459.3,1395.9,"2021 Istanbul Qual",22.9,1591.7
168,"Xin Yu Wang",19.7,1535.2,1483.1,1306.1,"1426.3",1509.2,1420.6,1480.7,"2021 W60 Charlottesville VA QF",19.6,1595.1
169,"En Shuo Liang",20.7,1532.3,1468.2,1331.3,"1344.1",1500.2,1431.8,1438.2,"2019 W60 Fukuoka R16",18.6,1584.7
170,"Tamara Korpatsch",26.1,1532,1347.9,1519.7,"1264.4",1440,1525.9,1398.2,"2019 W60 Nantes SF",24.5,1662.5
171,"Maddison Inglis",23.4,1527.4,1540.2,1178.1,"1204.2",1533.8,1352.8,1365.8,"2021 Adelaide R32",23.1,1580.2
172,"Jessica Pieri",24.1,1524.9,1245.3,1433.7,"1344.5",1385.1,1479.3,1434.7,"2021 W60+H La Bisbal D'Emporda R16",24,1614
173,"Veronica Cepede Royg",29.4,1522.2,1447.4,1480.6,"1362.1",1484.8,1501.4,1442.1,"2018 Acapulco R16",26.1,1733.3
174,"Cristina Bucsa",23.4,1514.3,1403.7,1395.4,"1350.7",1459,1454.9,1432.5,"2020 W60+H Saint-Malo SF",22.7,1617.3
175,"Giulia Gatto Monticone",33.6,1512.9,1476.5,1394.5,"1459.6",1494.7,1453.7,1486.3,"2019 Lausanne Qual",31.7,1657.8
