"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
83,"Katie Boulter",22.7,1710.9,1618.3,1220.4,"1490.3","2019 Indian Wells Qual",22.6,1744.1
84,"Bernarda Pera",24.5,1708.2,1546.1,1683.1,"1424.1","2018 Madrid R16",23.4,1807.5
85,"Kristyna Pliskova",27.2,1705.6,1537.4,1571.1,"1578.5","2018 Nurnberg QF",26.2,1792.2
86,"Sara Sorribes Tormo",22.7,1704.6,1543.5,1619.2,"1479.5","2019 Mallorca R32",22.7,1716.8
87,"Lauren Davis",25.7,1700.9,1588,1609.2,"1425.1","2017 Indian Wells R16",23.4,1881.6
88,"Anastasia Potapova",18.2,1699.8,1616.9,1567.7,"1412.1","2019 Budapest SF",17.9,1798.3
89,"Jil Belen Teichmann",21.9,1699.2,1447.3,1631,"1359.7","2019 Bol QF",21.9,1731.8
90,"Laura Siegemund",31.2,1699,1534.7,1621.5,"1359.4","2016 Madrid R16",28.2,1896.7
91,"Timea Bacsinszky",30,1698.8,1620,1615.7,"-","2015 Wimbledon QF",26.1,1996.7
92,"Greetje Minnen",21.8,1698.3,1495.5,1519.3,"1483.8","2019 S-Hertogenbosch QF",21.8,1756.1
93,"Eugenie Bouchard",25.2,1696,1624.3,1651,"1537.2","2014 Wimbledon F",20.3,2029.8
94,"Anna Blinkova",20.8,1695,1577.3,1638.1,"1465.2","2018 Monterrey R16",19.6,1759.9
95,"Sorana Cirstea",29.1,1694.7,1568.1,1631,"1481.2","2009 US Open R32",19.4,1893.3
96,"Marta Kostyuk",17,1692.6,1576.8,1591.3,"1432.4","2018 Stuttgart R16",15.8,1777.3
97,"Samantha Stosur",35.2,1688.5,1574,1681.8,"1508.9","2010 Roland Garros F",26.1,2129.1
98,"Jessica Pegula",25.3,1688.1,1656.4,1429.2,"1337.3","2019 Prague R16",25.2,1732.6
99,"Sara Errani",32.1,1686.3,1668.4,1593.7,"1337.4","2013 Roland Garros SF",26.1,2068.2
100,"Varvara Lepchenko",33.1,1686.2,1594.8,1566.4,"1437.2","2015 Australian Open R32",28.7,1873.1
101,"Barbora Krejcikova",23.5,1684.4,1373.7,1687.2,"1249.6","2019 W60 Stare Splavy F",23.5,1669.4
102,"Beatriz Haddad Maia",23,1681.7,1629,1554.9,"1429.6","2017 Cincinnati R32",21.2,1821.6
103,"Mona Barthel",28.9,1679.4,1648.8,1524.5,"1429.5","2012 Madrid R32",21.8,1983.3
