"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
84,"Saisai Zheng",27.8,1740,1649.8,1538.7,"1384.5",1694.9,1639.4,1562.3,"2020 Fed Cup G1 RR",26.1,1834
85,"Danka Kovinic",27.5,1739.3,1479.7,1702.6,"1239.0",1609.5,1721,1489.2,"2016 Istanbul SF",21.4,1804.4
86,"Taylor Townsend",26.1,1738.9,1610.5,1662.1,"1335.0",1674.7,1700.5,1536.9,"2014 Cincinnati Qual",18.3,1811.5
87,"Anna Bondar",25,1733.3,1486.7,1661.4,"1402.4",1610,1697.4,1567.9,"2022 Karlsruhe 125 QF",25,1743.7
88,"Anastasia Potapova",21.2,1732,1597.4,1617.3,"1479.6",1664.7,1674.6,1605.8,"2019 Budapest QF",17.9,1815.8
89,"Elisabetta Cocciaretto",21.3,1731.9,1574.4,1668.7,"1500.0",1653.2,1700.3,1616,"2020 Prague SF",19.6,1801.9
90,"Sofia Kenin",23.3,1729.9,1658.6,1531.7,"1500.0",1694.2,1630.8,1614.9,"2020 Fed Cup QLS R1",21.2,2049.1
91,"Ekaterina Makarova",34,1728.5,1678.5,1559.3,"1553.8",1703.5,1643.9,1641.1,"2014 Wuhan R64",26.3,2018.8
92,"Madison Brengle",32.2,1726.8,1685.5,1545.3,"1452.0",1706.1,1636.1,1589.4,"2016 Osprey FL $50K F",26,1854.1
93,"Rebecca Peterson",26.8,1726.2,1714.3,1535.9,"1411.3",1720.3,1631,1568.7,"2019 Tianjin F",24.2,1901.9
94,"Qiang Wang",30.4,1726.1,1705.7,1542.1,"1408.0",1715.9,1634.1,1567.1,"2018 Hong Kong SF",26.7,1984.2
95,"Jaqueline Cristian",23.7,1722.4,1637.7,1510.1,"1228.1",1680,1616.2,1475.2,"2021 Linz QF",23.4,1743.8
96,"Tamara Zidansek",24.5,1720.5,1570.2,1689.5,"1384.1",1645.4,1705,1552.3,"2019 Eastbourne R64",21.5,1853.2
97,"Ana Konjuh",24.4,1716,1690.8,1523.6,"1606.6",1703.4,1619.8,1661.3,"2017 Dubai R16",19.2,1897.2
98,"Ana Bogdan",29.5,1714.6,1601.7,1589.8,"1457.3",1658.1,1652.2,1585.9,"2018 New Haven Qual",25.7,1793.9
99,"Zarina Diyas",28.6,1713.9,1691,1493.3,"1487.8",1702.5,1603.6,1600.9,"2015 Dubai R32",21.3,1860.3
100,"Xin Yu Wang",20.7,1709.7,1617.7,1482.6,"1542.4",1663.7,1596.2,1626.1,"2021 Linz R16",20.1,1780.4
101,"Rebecca Marino",31.5,1708.3,1632.6,1470,"1437.1",1670.5,1589.1,1572.7,"2011 Nassau 100K QF",20.2,1832.8
102,"Kirsten Flipkens",36.4,1707.8,1608.4,1491.6,"1593.8",1658.1,1599.7,1650.8,"2013 Toronto R32",27.6,1939.3
103,"Varvara Gracheva",21.8,1704.7,1641.8,1523,"1292.0",1673.2,1613.9,1498.3,"2019 Moscow R32",19.2,1808.5
104,"Maryna Zanevska",28.8,1703.9,1577.7,1627.9,"1255.1",1640.8,1665.9,1479.5,"2016 Limoges R16",23.2,1737.7
