"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
222,"Alexandra Cadantu",32.1,1473.5,1330.7,1431.6,"1118.1",1402.1,1452.5,1295.8,"2012 Olomouc 100K SF",22.2,1766.9
223,"Victoria Duval",26.5,1471.7,1446.6,1363.6,"1353.3",1459.2,1417.7,1412.5,"2014 Prague 100K R32",18.4,1742.7
224,"Emma Navarro",20.9,1471.2,1358.4,1386.9,"-",1414.8,1429,1410.6,"2022 W60 Rome GA QF",20.7,1529.8
225,"Mayo Hibi",25.6,1469.2,1410.5,1205.2,"1320.9",1439.8,1337.2,1395,"2013 Las Vegas NV 50K QF",17.5,1644.7
226,"Gabriela Talaba",26.8,1468.3,1245.5,1456.1,"1253.5",1356.9,1462.2,1360.9,"2022 W100 Bonita Springs FL F",26.7,1514.3
227,"Usue Maitane Arconada",23.3,1468.2,1445.3,1177.5,"1324.6",1456.7,1322.9,1396.4,"2019 New Haven SF",20.8,1636.9
228,"En Shuo Liang",21.7,1467.1,1443.9,1287.8,"1286.8",1455.5,1377.4,1376.9,"2019 W60 Fukuoka R16",18.6,1583.7
229,"Olivia Gadecki",20.1,1467,1393.9,1343.3,"1365.0",1430.4,1405.1,1416,"2022 W60 Canberra SF",19.9,1574.6
230,"Chloe Paquet",28,1466.8,1465.8,1351.1,"1251.5",1466.3,1409,1359.2,"2022 W60 Croissy-Beaubourg QF",27.7,1535.7
231,"Joanne Zuger",21.6,1465.5,1405,1348,"1353.7",1435.2,1406.8,1409.6,"2022 W60 Brasov QF",21.5,1539.4
232,"Arina Rodionova",32.5,1463.3,1378.3,1135.5,"1523.5",1420.8,1299.4,1493.4,"2017 Nanchang R16",27.6,1624.6
233,"Seone Mendez",23.1,1463,1299.7,1372.2,"-",1381.3,1417.6,1406.5,"2022 W60+H Irapuato R16",22.8,1480.2
234,"Oksana Selekhmeteva",19.4,1462.2,1267.5,1430,"-",1364.8,1446.1,1406.1,"2021 Moscow Qual",18.8,1580.6
235,"Nikola Bartunkova",16.3,1462,1230,1390.2,"-",1346,1426.1,1406,"2022 W60 Prague R32",16.2,1576.6
236,"Jana Fett",25.6,1460.8,1397.2,1260.5,"1419.5",1429,1360.7,1440.2,"2017 Luxembourg Qual",21,1758.5
237,"Cagla Buyukakcay",32,1459.7,1386.2,1419.7,"1090.7",1423,1439.7,1275.2,"2016 Roland Garros Qual",26.7,1723.2
238,"Mai Hontama",22.8,1459.6,1454.7,1259.9,"1359.0",1457.1,1359.7,1409.3,"2022 Lyon Qual",22.5,1574.3
239,"Panna Udvardy",23.7,1458.6,1023.6,1447.4,"1374.5",1241.1,1453,1416.6,"2021 W60 Brasilia F",23.2,1575.6
240,"Katarzyna Kawa",29.6,1454.9,1337.9,1400.5,"1336.0",1396.4,1427.7,1395.5,"2020 W100 Charleston SC SF",28,1642
241,"Renata Zarazua",24.7,1454.3,1378.8,1408.2,"1267.8",1416.6,1431.3,1361.1,"2020 W100 Charleston SC QF",23.1,1617.3
242,"Andrea Lazaro Garcia",27.6,1453.8,1312.3,1349.3,"-",1383.1,1401.6,1401.9,"2022 W60 Koper SF",27.5,1536.9
243,"Kimberly Birrell",24.1,1451.2,1459.3,1252,"1114.6",1455.2,1351.6,1282.9,"2019 W60 Launceston R32",20.8,1537.6
244,"Ane Mintegi Del Olmo",18.1,1450.8,1395.3,1320.2,"-",1423.1,1385.5,1400.4,"2021 Montevideo R16",18.1,1480.1
245,"Sinja Kraus",20.1,1449,1398.7,1418,"1500.0",1423.8,1433.5,1474.5,"2022 W100 Wiesbaden R16",20,1522.9
246,"Sophie Chang",25,1448.8,1354.1,1339.5,"-",1401.4,1394.2,1399.4,"2021 Concord Qual",24.2,1487.3
247,"Marina Melnikova",33.3,1448.1,1281.8,1376.3,"1353.7",1365,1412.2,1400.9,"2016 Surbiton $50K F",27.3,1474.9
248,"Suzan Lamens",22.9,1445,1230,1417.9,"1272.8",1337.5,1431.5,1358.9,"2022 W60 Istanbul QF",22.8,1530.6
249,"Ellie Douglas",22,1444.4,1465.9,1255.3,"-",1455.2,1349.9,1397.2,"2022 W60+H Irapuato R16",21.8,1528.9
250,"Elvina Kalieva",18.8,1442.8,1377,1360.2,"-",1409.9,1401.5,1396.4,"2022 W60 Orlando FL QF",18.5,1538.1
251,"Asia Muhammad",31.2,1440.9,1379.9,1315.9,"1278.5",1410.4,1378.4,1359.7,"2017 Launceston $60K QF",25.8,1624.9
252,"Rebeka Masarova",22.9,1440.5,1416.5,1349.2,"1312.7",1428.5,1394.9,1376.6,"2021 W80 Valencia R32",22.1,1663.8
253,"Katie Swan",23.2,1437.5,1320.7,1432.3,"1343.6",1379.1,1434.9,1390.6,"2016 Miami Qual",17,1575.2
254,"Lina Glushko",22.3,1436.2,1410.7,1422.5,"1500.0",1423.4,1429.3,1468.1,"2019 Fed Cup G2 RR",19.1,1580.9
255,"Solana Sierra",18,1435.3,1479.3,1242.4,"-",1457.3,1338.8,1392.6,"2022 W100+H La Bisbal D'Emporda R32",17.9,1552.2
256,"Jessika Ponchet",25.7,1434.9,1413.7,1298.4,"1272.5",1424.3,1366.7,1353.7,"2019 W60 Shrewsbury R32",22.4,1594.6
257,"Lizette Cabrera",24.5,1433.5,1439.9,1224.5,"1221.9",1436.7,1329,1327.7,"2017 Taipei R16",19.9,1576.7
258,"Kayla Day",22.7,1433.4,1381.6,1305.7,"1277.9",1407.5,1369.5,1355.6,"2016 Scottsdale AZ $50K QF",17.1,1720.4
259,"Malene Helgo",22.8,1433,1564.2,1319.9,"1500.0",1498.6,1376.4,1466.5,"2017 Fed Cup G2 RR",17.7,1537.4
260,"Maddison Inglis",24.4,1431.8,1447,1203.7,"1254.2",1439.4,1317.8,1343,"2021 Adelaide R32",23.1,1580.3
261,"Lina Gjorcheska",27.9,1430.3,1246.2,1407.5,"1447.8",1338.3,1418.9,1439.1,"2017 Tunis $60K SF",22.7,1620.6
262,"Katherine Sebov",23.4,1427,1394,1161.3,"1407.8",1410.5,1294.1,1417.4,"2017 Fed Cup G1 PPO",18.1,1556.3
263,"Grace Min",28,1426.6,1356.7,1373.7,"1296.9",1391.6,1400.1,1361.7,"2014 Bastad R32",20.2,1752.9
264,"Allie Kiick",26.8,1426.4,1320.6,1435.2,"1222.0",1373.5,1430.8,1324.2,"2015 Indian Harbour Beach FL $50K QF",19.8,1685.3
265,"Valentini Grammatikopoulou",25.3,1425,1387,1340.4,"1295.6",1406,1382.7,1360.3,"2018 Fed Cup G2 RR",21.2,1590.8
266,"Iryna Shymanovich",24.9,1421.3,1285.4,1371.2,"-",1353.4,1396.2,1385.7,"2022 W60 Rome R32",24.9,1454.9
267,"Katrina Scott",17.9,1420.6,1378,1297.5,"-",1399.3,1359,1385.3,"2021 Concord R16",17.1,1490.6
268,"Elsa Jacquemot",19.1,1419.5,1317.8,1304.9,"-",1368.6,1362.2,1384.7,"2022 Roland Garros R128",19.1,1518.9
269,"Tereza Mrdeza",31.4,1418.6,1301.8,1376.6,"1142.9",1360.2,1397.6,1280.7,"2013 Monterrey R32",22.4,1659.1
270,"Anastasia Tikhonova",21.4,1418.1,1454.9,1256.1,"1437.8",1436.5,1337.1,1428,"2022 W60 Pretoria QF",21.2,1519.9
271,"Amandine Hesse",29,1410.9,1364.3,1320.3,"1251.2",1387.6,1365.6,1331,"2015 Victoria $50K SF",22.7,1560.7
272,"Barbara Gatica",25.8,1410.4,1250.5,1364.7,"1500.0",1330.5,1387.5,1455.2,"2021 W60 San Bartolome de Tirajana (Gran Canaria) R32",25,1460.7
273,"Gabriela Ce",29.3,1410.2,1184.3,1368.6,"-",1297.3,1389.4,1380.1,"2022 W100 Bonita Springs FL R16",29.2,1486.8
274,"Susan Bandecchi",24,1408,1219.6,1335.9,"1281.2",1313.8,1371.9,1344.6,"2021 W60 Montreux R16",23.2,1494.5
275,"Mariam Bolkvadze",24.4,1403.8,1438.8,1152.6,"1153.2",1421.3,1278.2,1278.5,"2021 Columbus 125 R32",23.7,1612
276,"Camilla Rosatello",27,1403.1,1125.7,1353.3,"-",1264.4,1378.2,1376.6,"2017 US Open Qual",22.3,1460.6
277,"Cristiana Ferrando",26.8,1402,1306.6,1327.1,"1332.8",1354.3,1364.5,1367.4,"2021 W80+H Le Neubourg R16",26.1,1473
278,"Marina Bassols Ribera",22.5,1401.6,1315.3,1276.6,"-",1358.5,1339.1,1375.8,"2022 W60 Madrid QF",22.5,1401.6
279,"Urszula Radwanska",31.5,1397.5,1330.2,1377,"1346.7",1363.8,1387.2,1372.1,"2012 Tokyo R32",21.8,1866.8
280,"Emina Bektas",29.2,1397,1467.4,1082.9,"1273.6",1432.2,1240,1335.3,"2017 Albuquerque NM $80K F",24.5,1571.9
281,"Emiliana Arango",21.5,1395.9,1309.7,1344.9,"1500.0",1352.8,1370.4,1447.9,"2016 Fed Cup G1 RR",15.2,1538.4
282,"Giulia Gatto Monticone",34.4,1392.8,1414.9,1281.8,"1423.7",1403.9,1337.3,1408.3,"2019 Lausanne Qual",31.7,1656.7
283,"Jamie Loeb",27.3,1392.2,1407.4,1222.1,"1296.2",1399.8,1307.1,1344.2,"2017 Indian Wells Qual",22,1638.6
284,"Jia Jing Lu",32.6,1391.4,1388.8,1188.8,"1170.6",1390.1,1290.1,1281,"2021 Dubai Aus Open Qualies Qual",31.1,1543.2
285,"Daniela Vismane",21.8,1391,1347.3,1337.4,"1500.0",1369.2,1364.2,1445.5,"2021 Angers R32",21.3,1588.9
286,"Francesca Di Lorenzo",24.9,1389.1,1331.3,1295.6,"1243.6",1360.2,1342.3,1316.3,"2019 Us Open R128",22.1,1663.7
287,"Marcela Zacarias",28.2,1388.7,1384.7,1255.8,"-",1386.7,1322.2,1369.4,"2013 Fed Cup G1 RRB",18.9,1600.5
288,"Arianne Hartono",26.1,1388.6,1397.1,1279.5,"1301.9",1392.9,1334,1345.3,"2021 Montevideo R32",25.6,1557.2
289,"Ena Shibahara",24.3,1387.9,1369.7,1244,"-",1378.8,1316,1369,"2019 W100 Vancouver R16",21.5,1475.9
290,"Richel Hogenkamp",30.2,1387.2,1391.5,1329.4,"1305.4",1389.4,1358.3,1346.3,"2017 's Hertogenbosch R32",25.2,1739.3
291,"Natalija Kostic",27.9,1387.2,1364.1,1252.3,"1325.8",1375.6,1319.7,1356.5,"2019 W100 Shenzhen R32",25.3,1575.9
292,"Maria Fernanda Herazo Gonzalez",25.2,1386.9,1438.8,1249.6,"1500.0",1412.9,1318.2,1443.5,"2014 Bogota R32",17,1465.2
293,"Ashlyn Krueger",18,1385.8,1239.4,1375.6,"-",1312.6,1380.7,1367.9,"2022 W60 Pelham AL QF",18,1435.4
294,"Whitney Osuigwe",20.1,1385.7,1352.2,1305.2,"1165.3",1369,1345.5,1275.5,"2019 W100 Bonita Springs FL QF",17.1,1781.8
295,"Lucrezia Stefanini",24.1,1377.1,1303.6,1314,"1291.9",1340.3,1345.5,1334.5,"2022 W60 Charlottesville VA QF",23.9,1471.9
296,"Tena Lukas",27.1,1376.3,1179.5,1343.7,"-",1277.9,1360,1363.1,"2018 Budapest $100K R16",23.2,1542.1
297,"Ellen Perez",26.7,1374.9,1337.8,1229.6,"1337.8",1356.4,1302.3,1356.3,"2021 San Jose Qual",25.8,1542.5
298,"Ylona Georgiana Ghioroaie",24.2,1373.2,1269.2,1283.7,"-",1321.2,1328.5,1361.6,"2022 W100+H La Bisbal D'Emporda R32",24.1,1383.7
299,"Dalayna Hewitt",21.4,1372.9,1385.6,1169,"-",1379.3,1270.9,1361.5,"2022 W60+H Irapuato R16",21.2,1471.8
300,"Dea Herdzelas",25.6,1372.2,1310.6,1309.6,"1500.0",1341.4,1340.9,1436.1,"2022 W60 Zagreb QF",25.5,1473.1
301,"Jesika Maleckova",27.8,1371.1,1295.6,1320.4,"-",1333.3,1345.8,1360.6,"2016 Szeged $50K R16",21.8,1522.4
302,"Valeria Savinykh",31.3,1370.3,1370,1157.7,"1286.7",1370.1,1264,1328.5,"2012 Osprey FL 50K R32",21.1,1681.9
303,"Audrey Albie",27.6,1367.3,1352.1,1166.2,"-",1359.7,1266.7,1358.7,"2019 W60 Andrezieux Boutheon SF",24.2,1599.7
304,"Maria Mateas",22.8,1366.6,1231.2,1417.4,"1500.0",1298.9,1392,1433.3,"2017 Las Vegas NV $60K R16",18.1,1513.2
305,"Isabella Shinikova",30.6,1365.8,1457.7,1165.1,"1176.6",1411.8,1265.5,1271.2,"2019 Moscow Qual",28,1614.8
306,"Justina Mikulskyte",26.3,1365.8,1400.4,1296.4,"1414.1",1383.1,1331.1,1390,"2013 Fed Cup G2 RRB",17.2,1487.2
307,"Ankita Raina",29.3,1364.5,1280.2,1264.9,"1133.6",1322.4,1314.7,1249.1,"2018 Luan $60K R16",25.3,1500.5
308,"Ulrikke Eikeri",29.5,1363.2,1253.8,1314.3,"1371.2",1308.5,1338.7,1367.2,"2009 Fed Cup G3 RRB",16.3,1686.7
309,"Martina Di Giuseppe",31.3,1362.8,1205.8,1299,"1254.6",1284.3,1330.9,1308.7,"2019 Bucharest QF",28.4,1566.8
310,"Tessah Andrianjafitrimo",23.7,1362.2,1307.1,1263.9,"1321.9",1334.7,1313.1,1342.1,"2016 Toronto $50K R16",18.1,1462.1
311,"Carol Zhao",26.9,1361.2,1276.8,1335,"1201.8",1319,1348.1,1281.5,"2017 Shenzhen $100K F",22.4,1530.4
312,"Xiaodi You",26.1,1359.1,1298.5,1315,"1283.8",1328.8,1337,1321.4,"2019 Tianjin Qual",23.4,1489.5
313,"Lisa Pigato",19,1357.8,1214.2,1319.2,"1289.0",1286,1338.5,1323.4,"2021 Parma Qual",17.9,1423.8
314,"Anna Zaja",30.2,1357.3,1256.8,1306.5,"1284.6",1307,1331.9,1321,"2018 Hechingen $60K QF",27.1,1546.4
315,"Conny Perrin",31.5,1354.7,1291.1,1300.4,"1428.3",1322.9,1327.5,1391.5,"2018 US Open Qual",27.7,1570.9
316,"Catherine Harrison",28.2,1353.5,1412.6,1102.7,"1290.9",1383,1228.1,1322.2,"2022 Monterrey Qual",27.9,1458.2
317,"Federica Di Sarra",32.1,1344.6,1240.8,1308.6,"1351.4",1292.7,1326.6,1348,"2021 Courmayeur Qual",31.4,1494.4
318,"Yuliana Lizarazo",29.1,1340.6,1357.5,1216.3,"-",1349.1,1278.5,1345.3,"2022 W60 Brescia QF",29,1399.2
319,"Aldila Sutjiadi",27.1,1337.4,1315.3,1226.9,"1374.3",1326.4,1282.2,1355.9,"2018 Fed Cup G2 PPO",22.8,1760.9
320,"Stephanie Wagner",27.7,1337,1292.4,1277.8,"-",1314.7,1307.4,1343.5,"2019 Karlsruhe R16",24.9,1440.5
321,"Quinn Gleason",27.3,1330.8,1301.5,1194.6,"-",1316.2,1262.7,1340.4,"2019 W60 Honolulu HI R16",24.7,1460.4
322,"Katharina Gerlach",24.3,1329.5,1098.4,1279.6,"1269.3",1214,1304.5,1299.4,"2021 Dubai Aus Open Qualies Qual",22.9,1397.5
323,"Daniela Seguel",29.6,1328.2,1359.4,1270.8,"1253.1",1343.8,1299.5,1290.7,"2018 Cagnes Sur Mer $100K R16",25.5,1623.8
324,"Yana Morderger",25.3,1325,1219.7,1253.5,"-",1272.4,1289.2,1337.5,"2021 Luxembourg Qual",24.5,1391.9
325,"Samantha Murray",34.4,1322.6,1254.7,1055.3,"1276.0",1288.6,1188.9,1299.3,"2013 Trabzon 50K QF",25.9,1509.6
326,"Nuria Brancaccio",22,1316.6,1230,1280.6,"-",1273.3,1298.6,1333.3,"2022 W60 Caserta QF",21.9,1349.3
327,"Estelle Cascino",26.2,1315.5,1224.9,1250.2,"-",1270.2,1282.9,1332.8,"2022 Saint Malo 125 Qual",26.1,1394.3
328,"Lulu Radovcic",21.1,1313.6,1206.2,1200.7,"1398.2",1259.9,1257.1,1355.9,"2022 W100 Surbiton R32",21.1,1325.4
329,"Anna Danilina",26.8,1312.6,1168.4,1326.3,"1311.4",1240.5,1319.5,1312,"2020 Prague R128",25,1426
330,"Miriam Kolodziejova",25.1,1311.9,1179.5,1283.8,"-",1245.7,1297.9,1331,"2022 W60 Prague QF",25.1,1340.6
331,"Marie Benoit",27.2,1311.1,1254.1,1278.3,"1313.9",1282.6,1294.7,1312.5,"2021 Bogota Qual",26.1,1462
332,"Irene Burillo Escorihuela",24.9,1309.1,1405.2,1156.6,"1289.6",1357.2,1232.9,1299.4,"2021 W60 Stare Splavy R16",23.9,1434.6
333,"Carole Monnet",20.5,1309,1248.5,1230,"-",1278.7,1269.5,1329.5,"2021 W60 San Bartolome de Tirajana (Gran Canaria) R16",19.7,1359.8
334,"Indy De Vroome",26,1308.4,1309,1059.8,"1308.9",1308.7,1184.1,1308.6,"2019 W60 Toronto R32",23.4,1513.2
335,"Guiomar Maristany Zuleta De Reales",23.3,1302.7,1271.6,1203.3,"-",1287.1,1253,1326.4,"2018 Valencia $60K R32",19.6,1339.3
336,"Eri Hozumi",28.3,1297.9,1225.4,1311,"1439.8",1261.6,1304.4,1368.8,"2014 Kurume 50K SF",20.2,1546
337,"Sarah Beth Askew",26.8,1295.4,1342,1280.1,"1139.9",1318.7,1287.7,1217.6,"2022 Nottingham Qual",26.8,1365
338,"Weronika Falkowska",22,1294.8,1167.3,1230.5,"-",1231,1262.6,1322.4,"2022 W60 Poertschach R32",22,1307.2
339,"Hanna Chang",24.2,1291.1,1300.6,1183.4,"-",1295.8,1237.2,1320.5,"2021 W60 Las Vegas NV QF",23.6,1469.7
340,"Anastasia Zakharova",20.3,1290,1411.2,1057.4,"-",1350.6,1173.7,1320,"2021 Nur-Sultan Qual",19.7,1487.2
341,"Reese Brantmeier",17.6,1287.6,1278,1134.5,"-",1282.8,1211,1318.8,"2021 Indian Wells Qual",17,1417.9
342,"Lena Rueffer",23.8,1285.7,1120.6,1283,"1253.8",1203.1,1284.3,1269.7,"2018 Hechingen $60K R16",20,1370.5
343,"Andreea Prisacariu",22.3,1284.1,1220.2,1244.7,"-",1252.1,1264.4,1317.1,"2022 W60 Prague R16",22.2,1370.5
344,"Robin Montgomery",17.7,1282.5,1264.8,1169.8,"-",1273.6,1226.1,1316.2,"2021 San Jose Qual",16.9,1333.2
345,"Naiktha Bains",24.5,1281.5,1191.5,1251.2,"1252.8",1236.5,1266.4,1267.2,"2019 W60 La Bisbal D'Emporda R16",21.4,1410.4
346,"Alice Rame",24.6,1280.3,1169,1234.2,"-",1224.6,1257.3,1315.2,"2019 W60 Montreux QF",21.8,1390.5
347,"Tara Moore",29.8,1275.8,1202.5,1068.4,"1311.4",1239.1,1172.1,1293.6,"2016 Limoges R32",24.3,1579.7
348,"Marine Partaud",27.6,1271.1,1176.5,1186.8,"-",1223.8,1229,1310.6,"2018 Dothan AL $80K R32",23.4,1326
349,"Sada Nahimana",21.1,1266.1,1218.1,1237.2,"-",1242.1,1251.7,1308,"2022 W60 Saint-Gaudens R32",21,1408.5
350,"Jessica Bouzas Maneiro",19.7,1258.5,1225.8,1237.3,"-",1242.1,1247.9,1304.2,"2021 W60 San Bartolome de Tirajana (Gran Canaria) R16",18.9,1369.3
351,"Eden Silva",26.2,1257.5,1011.9,1147.1,"1290.6",1134.7,1202.3,1274,"2022 Birmingham Qual",26.2,1262.8
352,"Mallaurie Noel",27.4,1252.5,1324.5,1046.2,"-",1288.5,1149.3,1301.3,"2021 Limoges R32",27,1409.9
353,"Irina Fetecau",25.8,1245.4,1159.9,1220.4,"1313.8",1202.7,1232.9,1279.6,"2021 Cluj-Napoca 1 Qual",25.3,1314.9
354,"Ekaterina Kazionova",23.4,1243.4,1304.6,1082.4,"1311.5",1274,1162.9,1277.4,"2022 W60 Nur-Sultan R32",23.1,1392.7
355,"Diana Marcinkevica",29.9,1216.1,1148.6,1184.4,"1414.1",1182.4,1200.3,1315.1,"2019 W60 Brescia SF",26.8,1471.3
356,"Leonie Kung",21.5,1211.4,1212.3,1120.3,"1285.8",1211.9,1165.9,1248.6,"2021 Monterrey Qual",20.4,1612.1
357,"Ana Sofia Sanchez",28.1,1210,1293.6,1096.8,"-",1251.8,1153.4,1280,"2016 Fed Cup G1 RR",21.8,1432.5
358,"Peangtarn Plipuech",29.5,1209.1,1190.2,1182.1,"1300.2",1199.6,1195.6,1254.6,"2019 W60 Luan R32",26.5,1421.7
359,"Maria Gutierrez Carrasco",24.7,1198,1089.5,1266.8,"-",1143.7,1232.4,1274,"2021 W80 Valencia R32",24,1326.2
360,"Nagi Hanatani",27.3,1162,1116,1182.8,"-",1139,1172.4,1256,"2018 Anning Qual",23.1,1372.6
361,"Amina Anshba",22.7,1148.5,1140.5,1103.2,"-",1144.5,1125.9,1249.3,"2021 Gdynia R32",21.9,1299.8
362,"Olivia Tjandramulia",24.9,1107.9,1063,1100.6,"1326.1",1085.4,1104.3,1217,"2017 Kurume $60K R32",20,1249.6
363,"Anna Siskova",20.9,1106.7,1255.5,1030.6,"-",1181.1,1068.6,1228.4,"2021 W60 Nur-Sultan R32",20,1228.4
364,"Angelina Gabueva",33.4,1070.7,1043,1063.8,"-",1056.8,1067.3,1210.3,"2006 Tashkent Qual",17.8,1343.1
365,"Ekaterina Yashina",28.9,1060.4,1086.7,985,"1341.0",1073.6,1022.7,1200.7,"2011 Astana 100K R32",18,1263.2
