Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
258,Thomaz Bellucci,1465.7,1458.6,1422.6,1350.2,1462.1,1444.1,1407.9,Bellucci T.
259,Roberto Marcora,1465.3,1443.9,1377.2,1223.3,1454.6,1421.3,1344.3,Marcora R.
260,Marc Polmans,1462,1367.1,1426.7,1225.2,1414.5,1444.3,1343.6,Polmans M.
261,Gian Marco Moroni,1461.6,1363.7,1409.5,-,1412.7,1435.6,1430.8,Moroni G.M.
262,Paolo Lorenzi,1455.5,1444.2,1437.6,1252.9,1449.8,1446.6,1354.2,Lorenzi P.
263,Riccardo Bonadio,1454.4,1229.0,1391.8,-,1341.7,1423.1,1427.2,Bonadio R.
264,Matteo Viola,1452,1395.8,1283.6,1382.7,1423.9,1367.8,1417.3,Viola M.
265,Jc Aragone,1451.3,1405.4,1060.5,1385.2,1428.4,1255.9,1418.3,Aragone J.
266,Manuel Guinard,1450,1197.1,1471.3,-,1323.5,1460.7,1425,Guinard M.
267,Joao Menezes,1448.8,1369.8,1381.9,-,1409.3,1415.4,1424.4,Menezes J.
268,Tung Lin Wu,1447.6,1455.4,1323.7,-,1451.5,1385.7,1423.8,Wu T.L.
269,Malek Jaziri,1446.9,1426.5,1424.6,1344.8,1436.7,1435.7,1395.8,Jaziri M.
270,Vitaliy Sachko,1442.9,1473.7,1257.3,-,1458.3,1350.1,1421.5,Sachko V.
271,Jonas Forejtek,1441.8,1398.0,1227.2,-,1419.9,1334.5,1420.9,Forejtek J.
272,Lorenzo Giustino,1438.9,1408.9,1376.1,1252.7,1423.9,1407.5,1345.8,Giustino L.
273,Giulio Zeppieri,1436.3,1221.9,1423.7,-,1329.1,1430,1418.1,Zeppieri G.
274,Camilo Ugo Carabelli,1433.9,1294.7,1394.0,-,1364.3,1414,1417,Carabelli C.U.
275,Mohamed Safwat,1432.5,1437.0,1349.6,1407.7,1434.7,1391.1,1420.1,Safwat M.
276,Hugo Grenier,1431.7,1470.3,1188.5,-,1451,1310.1,1415.8,Grenier H.
277,Pedro Sakamoto,1430.3,1287.9,1386.4,-,1359.1,1408.3,1415.1,Sakamoto P.
278,Adrian Menendez Maceiras,1429.6,1367.1,1402.7,1339.5,1398.4,1416.2,1384.6,Maceiras A.M.
279,Maxime Cressy,1423.1,1485.4,1264.2,1271.2,1454.3,1343.7,1347.2,Cressy M.
280,Alexander Ritschard,1421.8,1329.6,1329.2,-,1375.7,1375.5,1410.9,Ritschard A.
281,Facundo Mena,1420.8,1207.4,1390.5,-,1314.1,1405.6,1410.4,Mena F.
282,Teymuraz Gabashvili,1418.6,1428.8,1362.9,1420.7,1423.7,1390.8,1419.7,Gabashvili T.
283,Tim Van Rijthoven,1415.8,1404.9,1192.8,-,1410.3,1304.3,1407.9,Rijthoven T.V.
284,Adrian Andreev,1410.9,1382.6,1258.5,-,1396.7,1334.7,1405.4,Andreev A.
285,Thiago Agustin Tirante,1409.4,1374.8,1297.3,-,1392.1,1353.4,1404.7,Tirante T.A.
286,Hiroki Moriya,1407.3,1343.8,1154.3,1344.9,1375.5,1280.8,1376.1,Moriya H.
287,Igor Sijsling,1407,1321.2,1474.0,1529.2,1364.1,1440.5,1468.1,Sijsling I.
288,Akira Santillan,1406.5,1326.5,1322.8,1315.7,1366.5,1364.7,1361.1,Santillan A.
289,Jay Clarke,1405.2,1319.9,1347.2,1323.1,1362.6,1376.2,1364.2,Clarke J.
290,Stefano Napolitano,1401.9,1343.4,1390.1,1420.1,1372.7,1396,1411,Napolitano S.
291,Pedro Cachin,1398.6,1013.1,1404.6,1311.5,1205.8,1401.6,1355,Cachin P.
292,Joao Domingues,1390.7,1315.0,1324.4,1302.1,1352.9,1357.5,1346.4,Domingues J.
293,Agustin Velotti,1390.5,1336.9,1349.8,1366.3,1363.7,1370.1,1378.4,Velotti A.
294,Kevin King,1390.4,1319.3,1233.0,1399.2,1354.9,1311.7,1394.8,King K.
295,Pedja Krstin,1388.2,1283.8,1381.7,1296.6,1336,1385,1342.4,Krstin P.
296,Carlos Gomez Herrera,1384.9,1262.8,1338.5,1372.5,1323.8,1361.7,1378.7,Herrera C.G.
297,Lucas Miedler,1383.6,1382.1,1259.9,1339.0,1382.8,1321.7,1361.3,Miedler L.
298,Nino Serdarusic,1381.9,1293.1,1299.2,1349.4,1337.5,1340.5,1365.6,Serdarusic N.
299,Evgeny Karlovskiy,1380.5,1324.7,1103.5,1375.6,1352.6,1242,1378,Karlovskiy E.
300,Julian Lenz,1377.6,1298.5,1340.3,1349.8,1338.1,1358.9,1363.7,Lenz J.
301,Goncalo Oliveira,1373.3,1222.6,1367.4,1352.2,1297.9,1370.4,1362.7,Oliveira G.
302,Roberto Quiroz,1372.3,1288.6,1362.4,1428.1,1330.4,1367.3,1400.2,Quiroz R.
303,Duje Ajdukovic,1371,1186.0,1373.3,-,1278.5,1372.2,1385.5,Ajdukovic D.
304,Orlando Luz,1369.2,1114.9,1357.9,-,1242.1,1363.6,1384.6,Luz O.
305,Peter Polansky,1368,1344.3,1265.8,1354.3,1356.2,1316.9,1361.1,Polansky P.
306,Elliot Benchetrit,1366.8,1404.1,1275.6,-,1385.5,1321.2,1383.4,Benchetrit E.
307,Nikolas Sanchez Izquierdo,1357.2,1240.5,1331.5,-,1298.8,1344.3,1378.6,Izquierdo N.S.
308,Nicola Kuhn,1354.7,1380.1,1272.1,1334.2,1367.4,1313.4,1344.5,Kuhn N.
309,Arthur Cazaux,1353.9,1165.0,1357.9,-,1259.4,1355.9,1376.9,Cazaux A.
310,Viktor Galovic,1349.8,1354.0,1302.2,1468.4,1351.9,1326,1409.1,Galovic V.
311,Denis Yevseyev,1347.6,1273.8,1224.2,-,1310.7,1285.9,1373.8,Yevseyev D.
312,Alexey Vatutin,1344.4,1290.4,1372.2,1328.3,1317.4,1358.3,1336.3,Vatutin A.
313,Geoffrey Blancaneaux,1339.3,1330.4,1253.0,-,1334.8,1296.1,1369.6,Blancaneaux G.
314,Rudolf Molleker,1336.9,1180.9,1351.9,1313.5,1258.9,1344.4,1325.2,Molleker R.
315,Ergi Kirkin,1334.9,1378.8,1095.8,1372.7,1356.9,1215.4,1353.8,Kirkin E.
316,Jelle Sels,1321.3,1224.9,1386.5,1357.1,1273.1,1353.9,1339.2,Sels J.
317,Roberto Ortega Olmedo,1315.5,1266.0,1260.6,1414.8,1290.7,1288,1365.1,Olmedo R.O.
318,Hernan Casanova,1310.4,1177.1,1324.4,-,1243.7,1317.4,1355.2,Casanova H.
319,Roberto Cid,1277.1,1255.5,1221.1,1500.0,1266.3,1249.1,1388.5,Cid R.
320,Nick Chappell,1263.9,1212.3,-,-,1238.1,1241.9,1331.9,Chappell N.
