Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
59,Marco Cecchinato,1770.1,1378.6,1707.7,1386.3,1574.3,1738.9,1578.2,Cecchinato M.
60,Marcos Giron,1769.1,1687.3,1470.9,1623.1,1728.2,1620,1696.1,Giron M.
61,Jaume Munar,1768.4,1476.1,1702.3,1243.5,1622.2,1735.4,1505.9,Munar J.
62,Sam Querrey,1768.3,1643.4,1635.1,1749.0,1705.8,1701.7,1758.6,Querrey S.
63,Philipp Kohlschreiber,1767.6,1750.6,1663.0,1566.9,1759.1,1715.3,1667.2,Kohlschreiber P.
64,Sebastian Baez,1763,-,1721.1,-,1491.5,1742,1581.5,Baez S.
65,Pedro Martinez,1760.2,1552.2,1655.2,1376.1,1656.2,1707.7,1568.2,Martinez P.
66,Laslo Djere,1757.6,1411.0,1759.4,1253.7,1584.3,1758.5,1505.6,Djere L.
67,Gael Monfils,1754,1770.7,1529.9,1455.7,1762.4,1642,1604.8,Monfils G.
68,John Millman,1753.8,1663.4,1633.9,1524.2,1708.6,1693.8,1639,Millman J.
69,Holger Rune,1752.1,1429.8,1710.0,1500.0,1590.9,1731,1626,Rune H.
70,Pablo Cuevas,1750.7,1573.8,1725.0,1541.3,1662.3,1737.9,1646,Cuevas P.
71,Pierre Hugues Herbert,1749.4,1672.6,1611.4,1575.5,1711,1680.4,1662.5,Herbert P.H.
72,Alexei Popyrin,1747.2,1701.9,1607.3,1500.8,1724.5,1677.3,1624,Popyrin A.
73,Miomir Kecmanovic,1744.5,1658.7,1620.1,1551.3,1701.6,1682.3,1647.9,Kecmanovic M.
74,Ricardas Berankis,1739.8,1663.7,1567.4,1421.4,1701.7,1653.6,1580.6,Berankis R.
75,Soon Woo Kwon,1738.2,1655.7,1470.6,1498.1,1697,1604.4,1618.1,Kwon S.W.
76,Mikael Ymer,1737.4,1701.5,1634.0,1440.4,1719.5,1685.7,1588.9,Ymer M.
77,Dominik Koepfer,1735.2,1582.3,1654.2,1521.2,1658.8,1694.7,1628.2,Koepfer D.
78,Mackenzie McDonald,1733.9,1662.3,1620.5,1592.1,1698.1,1677.2,1663,Mcdonald M.
79,Corentin Moutet,1731.8,1709.5,1577.2,1535.6,1720.7,1654.5,1633.7,Moutet C.
80,Fernando Verdasco,1731,1712.7,1635.4,1592.6,1721.9,1683.2,1661.8,Verdasco F.
81,Tallon Griekspoor,1729.3,1589.0,1660.2,1340.7,1659.1,1694.7,1535,Griekspoor T.
82,Arthur Rinderknech,1727.7,1617.4,1553.3,1525.7,1672.6,1640.5,1626.7,Rinderknech A.
83,Feliciano Lopez,1726.8,1631.7,1624.5,1720.4,1679.3,1675.6,1723.6,Lopez F.
84,Thanasi Kokkinakis,1726.7,1699.1,1623.7,1425.0,1712.9,1675.2,1575.8,Kokkinakis T.
85,J.J. Wolf,1715.2,1669.9,1188.9,-,1692.5,1452,1557.6,Wolf J.
