"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
1,"Carlos Alcaraz",19,2200.2,"2028.5","2038.1","1441.4",2114.4,2119.2,1820.8,"2022 Roland Garros R16",19,2221.9
2,"Novak Djokovic",35,2168.6,"2054.9","2022.3","1942.4",2111.7,2095.4,2055.5,"2016 Miami F",28.8,2470
3,"Alexander Zverev",25.1,2131.3,"2012.7","2043.9","1671.4",2072,2087.6,1901.4,"2022 Atp Cup RR",24.7,2158.4
4,"Rafael Nadal",36,2095.8,"1934.9","1967.6","1500.0",2015.3,2031.7,1797.9,"2009 Madrid SF",22.9,2370
5,"Jannik Sinner",20.8,2070,"1969.9","1896.4","1312.8",2020,1983.2,1691.4,"2022 Madrid R32",20.7,2079
6,"Stefanos Tsitsipas",23.8,2058.2,"1899.1","2040.2","1572.4",1978.6,2049.2,1815.3,"2021 Roland Garros SF",22.8,2133
7,"Matteo Berrettini",26.2,2053.9,"1808.4","1869.7","1954.0",1931.2,1961.8,2004,"2022 Queen's Club F",26.2,2053.9
8,"Casper Ruud",23.5,2029.3,"1874.5","1961.4","1415.4",1951.9,1995.4,1722.3,"2022 Roland Garros SF",23.4,2062.2
9,"Daniil Medvedev",26.3,2025.1,"1959.3","1694.3","1763.3",1992.2,1859.7,1894.2,"2022 Australian Open SF",25.9,2189.2
10,"Andrey Rublev",24.6,1996.6,"1926.3","1855.2","1612.0",1961.5,1925.9,1804.3,"2021 Monte Carlo SF",23.5,2105.7
11,"Hubert Hurkacz",25.3,1989,"1876.5","1743.5","1807.5",1932.7,1866.2,1898.3,"2022 Halle F",25.3,1989
12,"Cameron Norrie",26.8,1963.8,"1867.7","1834.6","1540.3",1915.7,1899.2,1752.1,"2022 Indian Wells R16",26.5,1999.7
13,"Felix Auger Aliassime",21.8,1958.1,"1886.7","1784.6","1766.5",1922.4,1871.4,1862.3,"2022 Marseille SF",21.5,2035.7
14,"Diego Schwartzman",29.8,1925.9,"1807.0","1877.7","1508.0",1866.5,1901.8,1717,"2020 Paris R16",28.2,1972.9
15,"Nick Kyrgios",27.1,1924.4,"1770.9","1535.0","1642.9",1847.7,1729.7,1783.7,"2017 Cincinnati SF",22.3,2088.8
16,"Grigor Dimitrov",31.1,1906.8,"1787.9","1792.2","1517.6",1847.4,1849.5,1712.2,"2014 Canada QF",23.2,2090.3
17,"Taylor Fritz",24.6,1906,"1885.2","1686.8","1523.2",1895.6,1796.4,1714.6,"2022 Miami R32",24.4,1983.8
18,"Sebastian Korda",21.9,1900.6,"1786.3","1718.4","1639.3",1843.5,1809.5,1770,"2022 Australian Open R64",21.5,1944.8
19,"Kei Nishikori",31.8,1900.5,"1811.3","1805.2","1628.4",1855.9,1852.8,1764.4,"2016 US Open QF",26.7,2210.4
20,"Pablo Carreno Busta",30.9,1900.1,"1792.8","1822.4","1516.1",1846.4,1861.2,1708.1,"2021 Winston-Salem R16",30.1,2001.4
21,"Sebastian Baez",21.4,1899.5,"1476.9","1867.2","1368.2",1688.2,1883.4,1633.8,"2022 Lyon R16",21.4,1914.1
22,"Holger Rune",19.1,1897.8,"1668.1","1839.0","1428.5",1782.9,1868.4,1663.1,"2022 Roland Garros R16",19.1,1927.9
23,"Marin Cilic",33.7,1896.4,"1748.3","1782.2","1785.1",1822.3,1839.3,1840.7,"2010 Dubai R16",21.4,2094.4
24,"Botic Van De Zandschulp",26.7,1892.1,"1732.2","1750.7","1526.5",1812.1,1821.4,1709.3,"2022 Queen's Club QF",26.7,1901.8
25,"Karen Khachanov",26.1,1888.6,"1787.5","1777.0","1689.3",1838.1,1832.8,1788.9,"2018 Paris F",22.4,2015.2
26,"Roberto Bautista Agut",34.2,1886.6,"1804.6","1677.0","1677.6",1845.6,1781.8,1782.1,"2016 Rotterdam R16",27.8,2014.5
27,"Andy Murray",35.1,1885.1,"1744.1","1804.5","1697.0",1814.6,1844.8,1791.1,"2017 Doha SF",29.6,2347
28,"Gael Monfils",35.7,1870.7,"1825.6","1538.7","1419.8",1848.1,1704.7,1645.3,"2015 Monte Carlo QF",28.6,2067.7
29,"Reilly Opelka",24.8,1865.9,"1825.0","1679.3","1376.7",1845.5,1772.6,1621.3,"2022 Houston F",24.6,1940.3
30,"Miomir Kecmanovic",22.8,1865.5,"1774.0","1725.7","1490.2",1819.7,1795.6,1677.8,"2022 Munich QF",22.7,1895
31,"Alex De Minaur",23.3,1854.9,"1772.6","1600.4","1595.8",1813.7,1727.6,1725.3,"2020 Atp Cup RR",20.9,1992.8
32,"John Isner",37.1,1854.9,"1736.4","1750.6","1688.6",1795.6,1802.7,1771.8,"2012 US Open R64",27.3,2039.7
33,"David Goffin",31.5,1847.8,"1668.2","1797.9","1696.1",1758,1822.8,1771.9,"2017 Rome R32",26.4,2038.3
34,"Jenson Brooksby",21.6,1847.2,"1885.1","1608.0","1532.3",1866.1,1727.6,1689.7,"2022 Miami R32",21.4,1995.9
35,"Ilya Ivashka",28.3,1843.1,"1761.1","1660.6","1622.4",1802.1,1751.8,1732.7,"2021 Nur-Sultan QF",27.6,1912.4
36,"Alejandro Davidovich Fokina",23,1842.6,"1634.3","1777.9","1500.3",1738.4,1810.3,1671.5,"2021 Roland Garros R16",22,1928.7
37,"Denis Shapovalov",23.2,1838.1,"1765.6","1721.5","1582.9",1801.9,1779.8,1710.5,"2020 Auckland R16",20.7,1973.2
